"Reference","Qty","Value","Footprint","Manufacturer_Name","Manufacturer_Part_Number"
"J4,J6","2","~","","",""
"U2","1","USB  C DRP","bozi:2012670005_edit","",""
"D2","1","TVS / TBD","","",""
"IC6","1","TPS2117DRLR","SOTFL50P160X60-8N","Texas Instruments","TPS2117DRLR"
"IC11","1","TPA2005D1DGNR","SOP65P490X110-9N","Texas Instruments","TPA2005D1DGNR"
"IC10","1","TLV320AIC3104IRHBR","QFN50P500X500X100-33N-D","Texas Instruments","TLV320AIC3104IRHBR"
"TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17","13","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","",""
"IC8","1","TCPP01-M12","QFN50P300X300X100-13N-D","STMicroelectronics","TCPP01-M12"
"R31","1","TBD (configuration resistor)","","",""
"R32","1","TBD (based on color on LED)","","",""
"U6","1","TBD","","",""
"TH1","1","TBD","","",""
"R7,R24,R25,R29,R30,R33,R34,R47","8","TBD","","",""
"D1,D10","2","TBD","","",""
"C18,C118,C119,C121,C124","5","TBD","","",""
"SW3","1","SW_Push","","",""
"SW1","1","SW_Push","bozi:PTS636SM43SMTRLFS_edit","","FSM6JSMATR_SW_5-1437565-0"
"SW2","1","SW_DIP_x04","bozi:2194MST_edit","",""
"IC3","1","STPMIC1DPQR","bozi:QFN40P500X600X80-45N-D_edit","STMicroelectronics","STPMIC1DPQR"
"U1","1","STM32MP135F","bozi:BGA320C50P21X21_1100X1100X120_edit","",""
"Q2","1","STL11N3LLH6","","",""
"IC4","1","ST1S31PUR","bozi:SON65P300X300X100-9N-D_edit","STMicroelectronics","ST1S31PUR"
"LS1","1","Speaker","","",""
"R72","1","R","","",""
"J3","1","POGO header 20 pin","","",""
"J2","1","OMTP","","",""
"IC9","1","MT41K128M16JT-107_K","bozi:BGA96C80P9X16_800X1400X120_edit","Micron","MT41K128M16JT-107:K"
"U4","1","Microphone","","",""
"J1","1","Micro_SD_Card_Det2","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","",""
"U3","1","MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","",""
"IC5","1","MCP23017-E_ML","bozi:QFN65P600X600X100-29N-D_edit","Microchip","MCP23017-E/ML"
"IC12","1","MAX17262REWL+T","BGA9C40P3X3_147X145X69","Analog Devices","MAX17262REWL+T"
"D5,D7,D8,D9","4","LED","","",""
"D4","1","LED","bozi:LEDC1608X70N_edit","","150060RS75000"
"IC1","1","ESP32-C61-WROOM-1-N8R2","bozi:ESP32C61WROOM1N8R2_edit","Espressif Systems","ESP32-C61-WROOM-1-N8R2"
"D6","1","ESDALC6V1-1U2","bozi:ESDALC6V11U2_edit","STMicroelectronics","ESDALC6V1-1U2"
"U5","1","EMIF06-MSD02N16","bozi:MICROQFN16_1P25X3P55X0P4_STM_edit","","EMIF06-MSD02N16"
